lambda_reg,acc,unfairness
0.0,0.5529999732971191,-0.005085924174636602
0.25,0.5709999799728394,0.009933571331202984
0.5,0.5672000050544739,0.046824194490909576
1.0,0.49219998717308044,0.007012428715825081
1.25,0.4845999777317047,0.11830500513315201
1.5,0.4912000000476837,0.0015686978586018085
2.0,0.45649999380111694,0.3442637622356415
2.25,0.4912000000476837,0.0023166416212916374
2.5,0.4737999737262726,0.2998836636543274
3.25,0.4593999981880188,0.3257705271244049
3.75,0.44339999556541443,0.036437585949897766
4.5,0.4729999899864197,0.07569172978401184
4.75,0.4359999895095825,0.07298367470502853
5.0,0.4927999973297119,0.009936254471540451
