lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,3,190000,512,0.7086708670867087,0.19846415266376582,,,
0.0,3.0,3,190000,512,0.7572757275727573,0.08333126002076163,,,
0.0,4.0,3,190000,512,0.6993699369936993,0.1895786456483386,,,
0.2,2.0,3,190000,512,0.690969096909691,0.16553333655225644,,,
0.2,3.0,3,190000,512,0.7392739273927392,0.2569419722913652,,,
0.2,4.0,3,190000,512,0.6957695769576958,0.14688766455765756,,,
0.4,2.0,3,190000,512,0.7272727272727273,0.33260341337406685,,,
0.4,3.0,3,190000,512,0.7221722172217222,0.37042736919608926,,,
0.4,4.0,3,190000,512,0.7158715871587159,0.2970199035621307,,,
0.6,2.0,3,190000,512,0.5382538253825383,0.45736524609408197,,,
0.6,3.0,3,190000,512,0.5331533153315332,0.4269019907181329,,,
0.6,4.0,3,190000,512,0.5388538853885388,0.43107656425322294,,,
0.8,2.0,3,190000,512,0.5331533153315332,0.5282755360044038,,,
0.8,3.0,3,190000,512,0.5298529852985299,0.5022819280650562,,,
0.8,4.0,3,190000,512,0.5289528952895289,0.5249697880516735,,,
1.0,2.0,3,190000,512,0.5313531353135313,0.5767162611264125,,,
1.0,3.0,3,190000,512,0.5301530153015301,0.5772937785093749,,,
1.0,4.0,3,190000,512,0.5289528952895289,0.5751276172618649,,,
1.2,2.0,3,190000,512,0.531953195319532,0.6357527158949512,,,
1.2,3.0,3,190000,512,0.5301530153015301,0.6202257725954307,,,
1.2,4.0,3,190000,512,0.5304530453045304,0.6192873284802156,,,
1.4,2.0,3,190000,512,0.5304530453045304,0.6346880943601517,,,
1.4,3.0,3,190000,512,0.5328532853285328,0.644189389646024,,,
1.4,4.0,3,190000,512,0.5283528352835284,0.6458333834826494,,,
1.6,2.0,3,190000,512,0.528052805280528,0.6654564414009556,,,
1.6,3.0,3,190000,512,0.5313531353135313,0.6641183949463217,,,
1.6,4.0,3,190000,512,0.5283528352835284,0.6722540093655776,,,
1.8,2.0,3,190000,512,0.528052805280528,0.692346681596018,,,
1.8,3.0,3,190000,512,0.5289528952895289,0.6956489832643,,,
1.8,4.0,3,190000,512,0.5277527752775277,0.7057060967729264,,,
2.0,2.0,3,190000,512,0.5265526552655265,0.7151225692481402,,,
2.0,3.0,3,190000,512,0.5298529852985299,0.7131791660743748,,,
2.0,4.0,3,190000,512,0.5289528952895289,0.7213057075309701,,,
